scientific_name_original,scientific_name_matched,common_name_en,iucn,at_way_canguk,at_way_titias,at_danau_ranau,habitat_tier,wcrs_text,wc_from_text_only,sources,birdnet_label,in_birdnet_v24
Abroscopus superciliaris,Abroscopus superciliaris,Yellow-bellied Warbler,,True,False,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Abroscopus superciliaris_Yellow-bellied Warbler,True
Accipter trivirgatus,Accipiter trivirgatus,Crested Goshawk,,True,False,False,lowland,False,False,gooddie2015,Accipiter trivirgatus_Crested Goshawk,True
Actenoides concretus,Actenoides concretus,Rufous-collared Kingfisher,NT,True,True,False,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Actenoides concretus_Rufous-collared Kingfisher,True
Actitis hypoleucos,Actitis hypoleucos,Common Sandpiper,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing,Actitis hypoleucos_Common Sandpiper,True
Aegithina tiphia,Aegithina tiphia,Common Iora,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_hotspot_L7940372,Aegithina tiphia_Common Iora,True
Aegithina viridissima,Aegithina viridissima,Green Iora,NT,True,True,False,lowland,True,False,gooddie2015;brickle_wcrs;andriyani2022;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Aegithina viridissima_Green Iora,True
Aerodramus fuciphagus,Aerodramus fuciphagus,Edible-nest Swiftlet,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Bengkunat,Aerodramus fuciphagus_White-nest Swiftlet,True
Aerodramus maximus,Aerodramus maximus,Black-nest Swiftlet,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Aerodramus maximus_Black-nest Swiftlet,True
Aethopyga siparaja,Aethopyga siparaja,Crimson Sunbird,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_ForestTrail;ebird_DanauMenjukut,Aethopyga siparaja_Crimson Sunbird,True
Alcedo atthis,Alcedo atthis,Common Kingfisher,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_DanauMenjukut,Alcedo atthis_Common Kingfisher,True
Alcedo meninting,Alcedo meninting,Blue-eared Kingfisher,,True,True,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_ForestTrail,Alcedo meninting_Blue-eared Kingfisher,True
Alophoixus finschii,Alophoixus finschii,Finsch’s Bulbul,NT,True,False,False,lowland,True,False,gooddie2015;brickle_wcrs,Alophoixus finschii_Finsch's Bulbul,True
Alophoixus ochraceus,Alophoixus ochraceus,Ochraceous Bulbul,,True,True,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Alophoixus ochraceus_Ochraceous Bulbul,True
Alophoixus phaeocephalus,Alophoixus phaeocephalus,Yellow-bellied Bulbul,,True,True,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_ForestTrail,Alophoixus phaeocephalus_Yellow-bellied Bulbul,True
Amaurornis cinerea,Poliolimnas cinereus,White-browed Crake,,True,False,False,lowland,False,False,gooddie2015,Poliolimnas cinereus_White-browed Crake,True
Anorrhinus galeritus,Anorrhinus galeritus,Bushy-crested Hornbill,,True,True,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail;ebird_hotspot_L7940372,Anorrhinus galeritus_Bushy-crested Hornbill,True
Anous stolidus,Anous stolidus,Brown Noddy,,True,False,False,lowland,False,False,gooddie2015,Anous stolidus_Brown Noddy,True
Anthracoceros albirostris,Anthracoceros albirostris,Oriental Pied Hornbill,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_ForestTrail,Anthracoceros albirostris_Oriental Pied-Hornbill,True
Anthracoceros malayanus,Anthracoceros malayanus,Black Hornbill,NT,True,True,False,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail,Anthracoceros malayanus_Black Hornbill,True
Anthreptes malacensis,Anthreptes malacensis,Brown-throated Sunbird,,True,False,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing,Anthreptes malacensis_Brown-throated Sunbird,True
