scientific_name_original,scientific_name_matched,common_name_en,iucn,at_way_canguk,at_way_titias,at_danau_ranau,habitat_tier,wcrs_text,wc_from_text_only,sources,birdnet_label,in_birdnet_v24
Abroscopus superciliaris,Abroscopus superciliaris,Yellow-bellied Warbler,,True,False,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Abroscopus superciliaris_Yellow-bellied Warbler,True
Accipiter gularis,Accipiter gularis,Japanese Sparrowhawk,,False,True,False,mid,False,False,gooddie2015,Accipiter gularis_Japanese Sparrowhawk,True
Accipiter virgatus,Accipiter virgatus,Besra,,False,True,False,mid,False,False,gooddie2015,Accipiter virgatus_Besra,True
Accipter trivirgatus,Accipiter trivirgatus,Crested Goshawk,,True,False,False,lowland,False,False,gooddie2015,Accipiter trivirgatus_Crested Goshawk,True
Acridotheres javanicus,Acridotheres javanicus,Javan Myna,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_Bengkunat;ebird_hotspot_L7940372,Acridotheres javanicus_Javan Myna,True
Acridotheres tristis,Acridotheres tristis,Common Myna,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Acridotheres tristis_Common Myna,True
Acrocephalus stentoreus,Acrocephalus stentoreus,Clamorous Reed Warbler,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Acrocephalus stentoreus_Clamorous Reed Warbler,True
Actenoides concretus,Actenoides concretus,Rufous-collared Kingfisher,NT,True,True,False,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Actenoides concretus_Rufous-collared Kingfisher,True
Actitis hypoleucos,Actitis hypoleucos,Common Sandpiper,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing,Actitis hypoleucos_Common Sandpiper,True
Aegithina tiphia,Aegithina tiphia,Common Iora,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_hotspot_L7940372,Aegithina tiphia_Common Iora,True
Aegithina viridissima,Aegithina viridissima,Green Iora,NT,True,True,False,lowland,True,False,gooddie2015;brickle_wcrs;andriyani2022;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Aegithina viridissima_Green Iora,True
Aerodramus fuciphagus,Aerodramus fuciphagus,Edible-nest Swiftlet,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Bengkunat,Aerodramus fuciphagus_White-nest Swiftlet,True
Aerodramus maximus,Aerodramus maximus,Black-nest Swiftlet,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Aerodramus maximus_Black-nest Swiftlet,True
Aerodramus salangana,,Mossy-nest Swiftlet,,True,False,False,lowland,False,False,gooddie2015,,False
Aethopyga siparaja,Aethopyga siparaja,Crimson Sunbird,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_ForestTrail;ebird_DanauMenjukut,Aethopyga siparaja_Crimson Sunbird,True
Aethopyga temminckii,Aethopyga temminckii,Temminck’s Sunbird,,False,True,True,mid,False,False,gooddie2015;ebird_ID-SM-LA,Aethopyga temminckii_Temminck's Sunbird,True
Agropsar sturninus,Agropsar sturninus,Daurian Starling,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_Belimbing,Agropsar sturninus_Daurian Starling,True
Alcedo atthis,Alcedo atthis,Common Kingfisher,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_DanauMenjukut,Alcedo atthis_Common Kingfisher,True
Alcedo coerulescens,,Small Blue Kingfisher,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_DanauMenjukut,,False
Alcedo meninting,Alcedo meninting,Blue-eared Kingfisher,,True,True,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_ForestTrail,Alcedo meninting_Blue-eared Kingfisher,True
Alcedo peninsulae,,Malay Blue-banded Kingfisher,NT,True,True,False,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA;ebird_Bengkunat,,False
Alcippe brunneicauda,Alcippe brunneicauda,Brown Fulvetta,NT,False,True,False,mid,False,False,gooddie2015;ebird_ID-SM-LA,Alcippe brunneicauda_Brown Fulvetta,True
Alophoixus bres,,Grey-cheeked Bulbul,,True,True,True,lowland,False,False,gooddie2015,,False
Alophoixus finschii,Alophoixus finschii,Finsch’s Bulbul,NT,True,False,False,lowland,True,False,gooddie2015;brickle_wcrs,Alophoixus finschii_Finsch's Bulbul,True
Alophoixus ochraceus,Alophoixus ochraceus,Ochraceous Bulbul,,True,True,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Alophoixus ochraceus_Ochraceous Bulbul,True
Alophoixus phaeocephalus,Alophoixus phaeocephalus,Yellow-bellied Bulbul,,True,True,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_ForestTrail,Alophoixus phaeocephalus_Yellow-bellied Bulbul,True
Alophoixus tephrogenys,Alophoixus tephrogenys,Gray-cheeked Bulbul,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Alophoixus tephrogenys_Gray-cheeked Bulbul,True
Amandava amandava,Amandava amandava,Red Avadavat,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Amandava amandava_Red Avadavat,True
Amaurornis cinerea,Poliolimnas cinereus,White-browed Crake,,True,False,False,lowland,False,False,gooddie2015,Poliolimnas cinereus_White-browed Crake,True
Amaurornis phoenicurus,Amaurornis phoenicurus,White-breasted Waterhen,,False,True,False,mid,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_hotspot_L7940372,Amaurornis phoenicurus_White-breasted Waterhen,True
Anarhynchus alexandrinus,,Kentish Plover,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_Belimbing,,False
Anarhynchus javanicus,,Javan Plover,,False,False,False,unknown,False,False,ebird_ID-SM-LA,,False
Anarhynchus leschenaultii,,Greater Sand-Plover,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_Belimbing,,False
Anas gibberifrons,,Sunda Teal,,False,False,False,unknown,False,False,ebird_ID-SM-LA,,False
Anhinga melanogaster,Anhinga melanogaster,Oriental Darter,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Anhinga melanogaster_Oriental Darter,True
Anorrhinus galeritus,Anorrhinus galeritus,Bushy-crested Hornbill,,True,True,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail;ebird_hotspot_L7940372,Anorrhinus galeritus_Bushy-crested Hornbill,True
Anous stolidus,Anous stolidus,Brown Noddy,,True,False,False,lowland,False,False,gooddie2015,Anous stolidus_Brown Noddy,True
Anthipes solitaris,Anthipes solitaris,Rufous-browed Flycatcher,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Anthipes solitaris_Rufous-browed Flycatcher,True
Anthracoceros albirostris,Anthracoceros albirostris,Oriental Pied Hornbill,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_ForestTrail,Anthracoceros albirostris_Oriental Pied-Hornbill,True
Anthracoceros malayanus,Anthracoceros malayanus,Black Hornbill,NT,True,True,False,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail,Anthracoceros malayanus_Black Hornbill,True
Anthreptes malacensis,Anthreptes malacensis,Brown-throated Sunbird,,True,False,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing,Anthreptes malacensis_Brown-throated Sunbird,True
Anthreptes rhodolaema,,Red-throated Sunbird,NT,True,False,False,lowland,False,False,gooddie2015,,False
Anthreptes rhodolaemus,,Red-throated Sunbird,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_ForestTrail,,False
Anthreptes simplex,,Plain Sunbird,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail,,False
Anthus rufulus,Anthus rufulus,Paddyfield Pipit,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_ForestTrail,Anthus rufulus_Paddyfield Pipit,True
Apalharpactes mackloti,,Sumatran Trogon,,False,True,True,mid,False,False,gooddie2015;ebird_ID-SM-LA,,False
Aplonis panayensis,Aplonis panayensis,Asian Glossy Starling,,False,False,True,montane,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_hotspot_L7940372,Aplonis panayensis_Asian Glossy Starling,True
Apus nipalensis,Apus nipalensis,House Swift,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_hotspot_L7940372,Apus nipalensis_House Swift,True
Apus pacificus,Apus pacificus,Pacific Swift,,False,False,True,montane,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing,Apus pacificus_Pacific Swift,True
Arachnothera affinis,,Grey-breasted Spiderhunter,,True,True,False,lowland,False,False,gooddie2015,,False
Arachnothera chrysogenys,Arachnothera chrysogenys,Yellow-eared Spiderhunter,,True,True,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Arachnothera chrysogenys_Yellow-eared Spiderhunter,True
Arachnothera crassirostris,Arachnothera crassirostris,Thick-billed Spiderhunter,,True,True,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Arachnothera crassirostris_Thick-billed Spiderhunter,True
Arachnothera flavigaster,Arachnothera flavigaster,Spectacled Spiderhunter,,True,False,False,lowland,True,False,gooddie2015;andriyani2022;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Arachnothera flavigaster_Spectacled Spiderhunter,True
Arachnothera longirostra,Arachnothera longirostra,Little Spiderhunter,,True,True,True,lowland,True,False,gooddie2015;andriyani2022;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail,Arachnothera longirostra_Little Spiderhunter,True
Arachnothera modesta,,Gray-breasted Spiderhunter,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_ForestTrail,,False
Arachnothera robusta,,Long-billed Spiderhunter,,True,True,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Bengkunat;ebird_hotspot_L7940372,,False
Arborophila rubrirostris,,Red-billed Partridge,,False,True,True,mid,False,False,gooddie2015;ebird_ID-SM-LA,,False
Arborophila sumatrana,,Sumatran Partridge,,False,True,True,mid,False,False,gooddie2015;ebird_ID-SM-LA,,False
Ardea alba,Ardea alba,Great Egret,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_DanauMenjukut,Ardea alba_Great Egret,True
Ardea cinerea,Ardea cinerea,Gray Heron,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Ardea cinerea_Gray Heron,True
Ardea coromanda,,Eastern Cattle-Egret,,False,False,False,unknown,False,False,ebird_ID-SM-LA,,False
Ardea intermedia,Ardea intermedia,Intermediate Egret,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Ardea intermedia_Intermediate Egret,True
Ardea purpurea,Ardea purpurea,Purple Heron,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_DanauMenjukut,Ardea purpurea_Purple Heron,True
Ardea sumatrana,Ardea sumatrana,Great-billed Heron,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Ardea sumatrana_Great-billed Heron,True
Ardenna pacifica,Ardenna pacifica,Wedge-tailed Shearwater,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Ardenna pacifica_Wedge-tailed Shearwater,True
Ardeola bacchus,Ardeola bacchus,Chinese Pond-Heron,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Ardeola bacchus_Chinese Pond-Heron,True
Ardeola speciosa,Ardeola speciosa,Javan Pond-Heron,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Ardeola speciosa_Javan Pond-Heron,True
Arenaria interpres,Arenaria interpres,Ruddy Turnstone,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing,Arenaria interpres_Ruddy Turnstone,True
Argusianus argus,Argusianus argus,Great Argus,NT,True,False,False,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Argusianus argus_Great Argus,True
Artamus leucorhynchus,Artamus leucorynchus,White-breasted Woodswallow,,False,True,True,mid,False,False,gooddie2015,Artamus leucorynchus_White-breasted Woodswallow,True
